Cycle Number,EVE1 Last Cell Diff,EVE2 Last Cell Diff,Battery Health,Total Spikes in EVE2,Cell Diff at Spikes in EVE2
10,79,178,decreased,47,"[35, 46, 67, 40, 48, 40, 36, 51, 14, 64, 42, 51, 5, 45, 37, 30, 52, 44, 48, 38, 57, 25, 25, 52, 31, 11, 22, 15, 22, 13, 17, 35, 41, 35, 26, 13, 45, 24, 30, 22, 17, 49, 42, 11, 41, 52, 33]"
20,103,189,decreased,101,"[35, 46, 67, 40, 48, 40, 36, 51, 14, 64, 42, 51, 5, 45, 37, 30, 52, 44, 48, 38, 57, 25, 25, 52, 31, 11, 22, 15, 22, 13, 17, 35, 41, 35, 26, 13, 45, 24, 30, 22, 17, 49, 42, 11, 41, 52, 33, 32, 36, 31, 39, 39, 52, 44, 37, 50, 44, 18, 35, 65, 37, 42, 34, 41, 50, 42, 15, 61, 70, 50, 50, 28, 22, 38, 38, 37, 37, 23, 22, 21, 34, 22, 47, 58, 47, 44, 45, 49, 61, 44, 49, 70, 43, 24, 39, 35, 39, 33, 29, 41, 46]"
30,112,181,decreased,132,"[35, 46, 67, 40, 48, 40, 36, 51, 14, 64, 42, 51, 5, 45, 37, 30, 52, 44, 48, 38, 57, 25, 25, 52, 31, 11, 22, 15, 22, 13, 17, 35, 41, 35, 26, 13, 45, 24, 30, 22, 17, 49, 42, 11, 41, 52, 33, 32, 36, 31, 39, 39, 52, 44, 37, 50, 44, 18, 35, 65, 37, 42, 34, 41, 50, 42, 15, 61, 70, 50, 50, 28, 22, 38, 38, 37, 37, 23, 22, 21, 34, 22, 47, 58, 47, 44, 45, 49, 61, 44, 49, 70, 43, 24, 39, 35, 39, 33, 29, 41, 46, 59, 30, 40, 57, 53, 54, 68, 52, 48, 19, 67, 61, 39, 44, 44, 69, 44, 49, 41, 59, 68, 56, 39, 14, 54, 59, 21, 16, 27, 36, 61]"
40,179,31,increased,0,[]
50,170,168,increased,0,[]
60,273,120,increased,0,[]
70,279,78,increased,0,[]
80,279,78,increased,0,[]
90,301,71,increased,0,[]
100,364,99,increased,0,[]
