Cycle Number,Cell Difference
1,68
2,25
3,90
4,75
5,74
6,101
7,8
8,79
9,78
10,79
11,78
12,78
13,77
14,88
15,92
16,82
17,98
18,101
19,101
20,103
21,105
22,107
23,107
24,107
25,109
26,109
27,111
28,91
29,111
30,112
31,176
32,68
33,174
34,175
35,175
36,176
37,232
38,234
39,191
40,179
41,227
42,253
43,255
44,171
45,46
46,261
47,259
48,261
49,261
50,170
51,264
52,265
53,266
54,267
55,268
56,270
57,270
58,269
59,134
60,273
61,272
62,272
63,272
64,273
65,274
66,276
67,277
68,278
69,279
70,279
71,281
72,141
73,332
74,335
75,228
76,282
77,361
78,362
79,361
80,279
81,362
82,299
83,167
84,167
85,363
86,234
87,299
88,364
89,366
90,301
91,364
92,168
93,364
94,365
95,365
96,365
97,170
98,366
99,237
100,364
101,364
102,365
103,366
104,364
105,364
106,366
107,365
108,238
109,171
